,Team,Year,Wins,Champion,MVP,Scoring Leader,Rebound Leader,Assist Leader,WS Leader,DPOY,MIP,6MOY,Coach of Year,All-Stars,All-Defensive,All-NBA,FG%,3P Attempts,3P%,2P Attempts,2P%,FT%,RPG,APG,STL,BLK,TOVPG,PPG,Accolades,Franchise ID
90,Los Angeles Lakers,1969.0,55.0,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.469,0.0,0.0,7620.0,0.469,0.65,57.9,25.2,0.0,0.0,0.0,112.2,5.0,Lakers
91,Atlanta Hawks,1969.0,48.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.46,0.0,0.0,7844.0,0.46,0.687,56.1,25.2,0.0,0.0,0.0,111.3,5.0,Hawks
92,Golden State Warriors,1969.0,41.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.415,0.0,0.0,8218.0,0.415,0.719,62.3,22.2,0.0,0.0,0.0,109.1,4.0,Warriors
93,Houston Rockets,1969.0,37.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.428,0.0,0.0,8631.0,0.428,0.682,61.3,23.5,0.0,0.0,0.0,115.3,4.0,Rockets
94,Chicago Bulls,1969.0,33.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.418,0.0,0.0,8021.0,0.418,0.728,55.5,19.5,0.0,0.0,0.0,104.7,3.0,Bulls
95,Oklahoma City Thunder,1969.0,30.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.435,0.0,0.0,8149.0,0.435,0.707,54.9,23.5,0.0,0.0,0.0,112.1,1.0,Thunder
96,Phoenix Suns,1969.0,16.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.43,0.0,0.0,8242.0,0.43,0.705,55.0,23.4,0.0,0.0,0.0,111.7,2.0,Suns
97,New York Knicks,1970.0,60.0,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.477,0.0,0.0,7975.0,0.477,0.733,48.9,26.0,0.0,0.0,0.0,115.0,8.0,Knicks
98,Milwaukee Bucks,1970.0,56.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.488,0.0,0.0,8041.0,0.488,0.732,53.9,26.4,0.0,0.0,0.0,118.8,4.0,Bucks
99,Washington Wizards,1970.0,50.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.458,0.0,0.0,8567.0,0.458,0.773,57.1,22.9,0.0,0.0,0.0,120.7,2.0,Wizards
100,Philadelphia 76ers,1970.0,42.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.469,0.0,0.0,8345.0,0.469,0.752,54.4,25.9,0.0,0.0,0.0,121.9,2.0,76ers
101,Sacramento Kings,1970.0,36.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.455,0.0,0.0,8271.0,0.455,0.733,50.8,24.3,0.0,0.0,0.0,117.3,3.0,Kings
